# Latin key <TAB> Devanagari word - generated from ne-words.sqlite3.
# Sorted by UTF-8 byte order, which is what fst's SetBuilder requires.
# Regenerate with tools/mkwords.py; do not hand-edit.
DaDhelo	डढेलो
achamm	अचम्म
achammit	अचम्मित
achanak	अचानक
achar	अचार
achar	आचार
acharan	आचरण
achchha	अच्छा
achchhaa	अच्छा
achel	अचेल
achet	अचेत
achetan	अचेतन
achheta	अछेता
achhetaa	अछेता
achhuto	अछुतो
ad	आड
adRRishy	अदृश्य
adaalat	अदालत
adaalati	अदालती
adaalatii	अदालती
adaan	अडान
adakal	अडकल
adalat	अदालत
adalati	अदालती
adalatii	अदालती
adambar	आडम्बर
adamy	अदम्य
adan	अडान
adar	आदर
adaraarthi	आदरार्थी
adaraarthii	आदरार्थी
adaraniiy	आदरणीय
adaraniy	आदरणीय
adararthi	आदरार्थी
adararthii	आदरार्थी
adarsh	आदर्श
adarshavaadi	आदर्शवादी
adarshavaadii	आदर्शवादी
adarshavadi	आदर्शवादी
adarshavadii	आदर्शवादी
adat	आदत
adbhut	अद्भुत
adchan	अड्चन
adda	अड्डा
addaa	अड्डा
ades	अडेस
adesh	आदेश
adha	आधा
adhaa	आधा
adhaai	अढाइ
adhaai	अढाई
adhaaii	अढाई
adhaar	आधार
adhaarabhut	आधारभूत
adhaarabhuut	आधारभूत
adhaarit	आधारित
adhabaise	अधबैँसे
adhabai~se	अधबैँसे
adhai	अढाइ
adhai	अढाई
adhaii	अढाई
adhairy	अधैर्य
adhar	आधार
adharabhut	आधारभूत
adharabhuut	आधारभूत
adharit	आधारित
adhero	अँधेरो
adhi	आँधी
adhii	आँधी
adhiin	अधीन
adhiir	अधीर
adhik	अधिक
adhikRRit	अधिकृत
adhikaaMsh	अधिकांश
adhikaansh	अधिकांश
adhikaaravaadi	अधिकारवादी
adhikaaravaadii	अधिकारवादी
adhikaaravadi	अधिकारवादी
adhikaaravadii	अधिकारवादी
adhikaari	अधिकारी
adhikaarii	अधिकारी
adhikaarik	आधिकारिक
adhikaarikata	आधिकारिकता
adhikaarikataa	आधिकारिकता
adhikansh	अधिकांश
adhikaravaadi	अधिकारवादी
adhikaravaadii	अधिकारवादी
adhikaravadi	अधिकारवादी
adhikaravadii	अधिकारवादी
adhikari	अधिकारी
adhikarii	अधिकारी
adhikarik	आधिकारिक
adhikarikata	आधिकारिकता
adhikarikataa	आधिकारिकता
adhikatam	अधिकतम
adhikrit	अधिकृत
adhin	अधीन
adhinaayakavaad	अधिनायकवाद
adhinaayakavaadi	अधिनायकवादी
adhinaayakavaadii	अधिनायकवादी
adhinaayakavad	अधिनायकवाद
adhinaayakavadi	अधिनायकवादी
adhinaayakavadii	अधिनायकवादी
adhinayakavaad	अधिनायकवाद
adhinayakavaadi	अधिनायकवादी
adhinayakavaadii	अधिनायकवादी
adhinayakavad	अधिनायकवाद
adhinayakavadi	अधिनायकवादी
adhinayakavadii	अधिनायकवादी
adhipaty	आधिपत्य
adhir	अधीर
adhiraajy	अधिराज्य
adhirajy	अधिराज्य
adhivakta	अधिवक्ता
adhivaktaa	अधिवक्ता
adhiveshan	अधिवेशन
adhunik	आधुनिक
adhunikata	आधुनिकता
adhunikataa	आधुनिकता
adhunikiikaran	आधुनिकीकरण
adhunikikaran	आधुनिकीकरण
adhuro	अधुरो
adhyaadesh	अध्यादेश
adhyaagaman	अध्यागमन
adhyaapak	अध्यापक
adhyaapan	अध्यापन
adhyaaro	अँध्यारो
adhyaatmik	आध्यात्मिक
adhyaay	अध्याय
adhyadesh	अध्यादेश
adhyagaman	अध्यागमन
adhyakSh	अध्यक्ष
adhyakShataa	अध्यक्षता
adhyaksh	अध्यक्ष
adhyakshata	अध्यक्षता
adhyakshataa	अध्यक्षता
adhyapak	अध्यापक
adhyapan	अध्यापन
adhyaro	अँध्यारो
adhyatmik	आध्यात्मिक
adhyay	अध्याय
adhyayan	अध्ययन
adhyayanarat	अध्ययनरत
adhyeta	अध्येता
adhyetaa	अध्येता
adi	आदि
adig	अडिग
adim	आदिम
adini	अडिनी
adinii	अडिनी
adivaasi	आदिवासी
adivaasii	आदिवासी
adivasi	आदिवासी
adivasii	आदिवासी
adiyo	अडियो
adrishy	अदृश्य
aduva	अदुवा
aduvaa	अदुवा
advitiiy	अद्वितीय
advitiy	अद्वितीय
adyaapi	अद्यापि
adyaavadhik	अद्यावधिक
adyapi	अद्यापि
adyavadhik	अद्यावधिक
ae	आए
aeko	आएको
agaShT	अगष्ट
agaaDi	अगाडि
agaadh	अगाध
agaadi	अगाडि
agaalchh	अँगाल्छ
agaalda	अँगाल्दा
agaaldaa	अँगाल्दा
agaaldai	अँगाल्दै
agaale	अँगाले
agaaleko	अँगालेको
agaalne	अँगाल्ने
agaalnu	अँगाल्नु
agaalo	अँगालो
agaalyo	अँगाल्यो
agaami	आगामी
agaamii	आगामी
agaavai	अगावै
agadh	अगाध
agadi	अगाडि
agajani	आगजनी
agajanii	आगजनी
agalaagi	आगलागी
agalaagii	आगलागी
agalagi	आगलागी
agalagii	आगलागी
agalchh	अँगाल्छ
agalda	अँगाल्दा
agaldaa	अँगाल्दा
agaldai	अँगाल्दै
agale	अँगाले
agaleko	अँगालेको
agalne	अँगाल्ने
agalnu	अँगाल्नु
agalo	अँगालो
agalyo	अँगाल्यो
agami	आगामी
agamii	आगामी
agantuk	आगन्तुक
agasht	अगष्ट
agavai	अगावै
aghaat	आघात
aghat	आघात
aghi	अघि
aghillo	अघिल्लो
aghoShit	अघोषित
aghori	अघोरी
aghorii	अघोरी
aghoshit	अघोषित
agi	अगि
aglo	अग्लो
agni	अग्नि
ago	आगो
agraNii	अग्रणी
agragaami	अग्रगामी
agragaamii	अग्रगामी
agragaman	अग्रगमन
agragami	अग्रगामी
agragamii	अग्रगामी
agragati	अग्रगति
agrah	आग्रह
agraj	अग्रज
agrani	अग्रणी
agranii	अग्रणी
agrapankti	अग्रपङ्क्ति
agrapa~Nkti	अग्रपङ्क्ति
agrasar	अग्रसर
agrasthaan	अग्रस्थान
agrasthan	अग्रस्थान
agrata	अग्रता
agrataa	अग्रता
agreji	अँग्रेजी
agrejii	अँग्रेजी
agrim	अग्रिम
aguva	अगुवा
aguvaa	अगुवा
aguvaai	अगुवाइ
aguvai	अगुवाइ
aha	अहँ
aha	अहा
aha	आहा
ahaM	अहं
ahaa	अहा
ahaa	आहा
ahaal	आहाल
ahaar	आहार
ahaara	आहारा
ahaaraa	आहारा
ahal	आहाल
ahan	अहं
ahar	आहार
ahara	आहारा
aharaa	आहारा
ahat	आहत
aha~	अहँ
ahiMsaa	अहिंसा
ahile	अहिले
ahinsa	अहिंसा
ahinsaa	अहिंसा
aho	अहो
ahoraatr	अहोरात्र
ahoratr	अहोरात्र
ahuti	आहुति
ahvaan	आह्वान
ahvan	आह्वान
aikyabaddhata	ऐक्यबद्धता
aikyabaddhataa	ऐक्यबद्धता
aimaai	आइमाई
aimaaii	आइमाई
aimai	आइमाई
aimaii	आइमाई
ain	ऐन
aina	ऐना
ainaa	ऐना
ainda	आइन्दा
aindaa	आइन्दा
airan	आइरन
aishvary	ऐश्वर्य
aitabaar	आइतबार
aitabar	आइतबार
aitihaasik	ऐतिहासिक
