# Latin key <TAB> Devanagari word - generated from ne-words.sqlite3.
# Sorted by UTF-8 byte order, which is what fst's SetBuilder requires.
# Regenerate with tools/mkwords.py; do not hand-edit.
DaDhelo	डढेलो
purnatah	पूर्णतः
purnataya	पूर्णतया
purnatayaa	पूर्णतया
purohit	पुरोहित
purpakSh	पुर्पक्ष
purpaksh	पुर्पक्ष
purpuro	पुर्पुरो
purti	पूर्ति
puruSh	पुरुष
puruShaarth	पुरुषार्थ
purush	पुरुष
purushaarth	पुरुषार्थ
purusharth	पुरुषार्थ
purv	पूर्व
purvaadhaar	पूर्वाधार
purvaadhar	पूर्वाधार
purvaagrah	पूर्वाग्रह
purvaagrahi	पूर्वाग्रही
purvaagrahii	पूर्वाग्रही
purvaarddh	पूर्वार्द्ध
purvadhaar	पूर्वाधार
purvadhar	पूर्वाधार
purvagrah	पूर्वाग्रह
purvagrahi	पूर्वाग्रही
purvagrahii	पूर्वाग्रही
purvajanm	पूर्वजन्म
purvarddh	पूर्वार्द्ध
purvavarti	पूर्ववर्ती
purvavartii	पूर्ववर्ती
purvi	पूर्वी
purvii	पूर्वी
pus	पुस
pushp	पुष्प
pusht	पुष्ट
pushti	पुष्टि
pusta	पुस्ता
pustaa	पुस्ता
pustak	पुस्तक
pustakaalay	पुस्तकालय
pustakalay	पुस्तकालय
pustika	पुस्तिका
pustikaa	पुस्तिका
putala	पुतला
putalaa	पुतला
putali	पुतली
putalii	पुतली
putla	पुत्ला
putlaa	पुत्ला
putr	पुत्र
putri	पुत्री
putrii	पुत्री
puujaapaaTh	पूजापाठ
puujaapaath	पूजापाठ
puujaapath	पूजापाठ
puujaniiy	पूजनीय
puujaniy	पूजनीय
puujapaath	पूजापाठ
puujapath	पूजापाठ
puujy	पूज्य
puurN	पूर्ण
puurNataH	पूर्णतः
puurNataa	पूर्णता
puurNatayaa	पूर्णतया
puura	पूरा
puuraa	पूरा
puurak	पूरक
puurn	पूर्ण
puurnata	पूर्णता
puurnataa	पूर्णता
puurnatah	पूर्णतः
puurnataya	पूर्णतया
puurnatayaa	पूर्णतया
puurti	पूर्ति
puurv	पूर्व
puurvaadhaar	पूर्वाधार
puurvaadhar	पूर्वाधार
puurvaagrah	पूर्वाग्रह
puurvaagrahi	पूर्वाग्रही
puurvaagrahii	पूर्वाग्रही
puurvaarddh	पूर्वार्द्ध
puurvadhaar	पूर्वाधार
puurvadhar	पूर्वाधार
puurvagrah	पूर्वाग्रह
puurvagrahi	पूर्वाग्रही
puurvagrahii	पूर्वाग्रही
puurvajanm	पूर्वजन्म
puurvarddh	पूर्वार्द्ध
puurvavarti	पूर्ववर्ती
puurvavartii	पूर्ववर्ती
puurvi	पूर्वी
puurvii	पूर्वी
pu~jii	पुँजी
pvaakh	प्वाँख
pvaal	प्वाल
pvaa~kh	प्वाँख
pvakh	प्वाँख
pval	प्वाल
pyaaj	प्याज
pyaak	प्याक
pyaakeT	प्याकेट
pyaakej	प्याकेज
pyaaket	प्याकेट
pyaar	प्यार
pyaas	प्यास
pyaj	प्याज
pyak	प्याक
pyakej	प्याकेज
pyaket	प्याकेट
pyar	प्यार
pyas	प्यास
ra	र
raNDii	रण्डी
raNaniiti	रणनीति
raNaniitik	रणनीतिक
raaShTr	राष्ट्र
raaShTrabhaaShaa	राष्ट्रभाषा
raaShTrasaMghiiy	राष्ट्रसंघीय
raaShTravyaapii	राष्ट्रव्यापी
raaShTriy	राष्ट्रिय
raaShTriyakaraN	राष्ट्रियकरण
raaShTriyasabhaa	राष्ट्रियसभा
raaShTriyataa	राष्ट्रियता
raad	राँड
raadi	राँडी
raadii	राँडी
raag	राग
raago	राँगो
raahadaani	राहदानी
raahadaanii	राहदानी
raahadani	राहदानी
raahadanii	राहदानी
raahat	राहत
raaiphal	राइफल
raaj	राज
raaja	राजा
raajaa	राजा
raajaavaadi	राजावादी
raajaavaadii	राजावादी
raajaavadi	राजावादी
raajaavadii	राजावादी
raajadhaani	राजधानी
raajadhaanii	राजधानी
raajadhani	राजधानी
raajadhanii	राजधानी
raajadut	राजदूत
raajadutaavaas	राजदूतावास
raajadutaavas	राजदूतावास
raajadutavaas	राजदूतावास
raajadutavas	राजदूतावास
raajaduut	राजदूत
raajaduutaavaas	राजदूतावास
raajaduutaavas	राजदूतावास
raajaduutavaas	राजदूतावास
raajaduutavas	राजदूतावास
raajakiiy	राजकीय
raajakiy	राजकीय
raajakumaari	राजकुमारी
raajakumaarii	राजकुमारी
raajakumari	राजकुमारी
raajakumarii	राजकुमारी
raajamaarg	राजमार्ग
raajamarg	राजमार्ग
raajan	राजन
raajaneta	राजनेता
raajanetaa	राजनेता
raajaniiti	राजनीति
raajaniitijn	राजनीतिज्ञ
raajaniitij~n	राजनीतिज्ञ
raajaniitik	राजनीतिक
raajaniitikaraN	राजनीतिकरण
raajaniitikaran	राजनीतिकरण
raajaniti	राजनीति
raajanitijn	राजनीतिज्ञ
raajanitik	राजनीतिक
raajanitikaran	राजनीतिकरण
raajapath	राजपथ
raajapatr	राजपत्र
raajapraasaad	राजप्रासाद
raajapraasad	राजप्रासाद
raajaprasaad	राजप्रासाद
raajaprasad	राजप्रासाद
raajashv	राजश्व
raajasv	राजस्व
raajatantr	राजतन्त्र
raajavaMshii	राजवंशी
raajavaadi	राजावादी
raajavaadii	राजावादी
raajavadi	राजावादी
raajavadii	राजावादी
raajavanshi	राजवंशी
raajavanshii	राजवंशी
raaji	राजी
raajii	राजी
raajy	राज्य
raakShas	राक्षस
raakhchh	राख्छ
raakhda	राख्दा
raakhdaa	राख्दा
raakhdai	राख्दै
raakhe	राखे
raakheko	राखेको
raakhne	राख्ने
raakhnu	राख्नु
raakhyo	राख्यो
raakshas	राक्षस
raamrari	राम्ररी
raamrarii	राम्ररी
raamro	राम्रो
raani	रानी
raanii	रानी
raap	राप
raas	रास
raasaayanik	रासायनिक
raasayanik	रासायनिक
raashi	राशि
raashtr	राष्ट्र
raashtrabhaasha	राष्ट्रभाषा
raashtrabhaashaa	राष्ट्रभाषा
raashtrabhasha	राष्ट्रभाषा
raashtrabhashaa	राष्ट्रभाषा
raashtrasanghiiy	राष्ट्रसंघीय
raashtrasanghiy	राष्ट्रसंघीय
raashtravyaapi	राष्ट्रव्यापी
raashtravyaapii	राष्ट्रव्यापी
raashtravyapi	राष्ट्रव्यापी
raashtravyapii	राष्ट्रव्यापी
raashtriy	राष्ट्रिय
raashtriyakaran	राष्ट्रियकरण
raashtriyasabha	राष्ट्रियसभा
raashtriyasabhaa	राष्ट्रियसभा
raashtriyata	राष्ट्रियता
raashtriyataa	राष्ट्रियता
raat	रात
raataaraat	रातारात
raataarat	रातारात
raataraat	रातारात
raatarat	रातारात
raati	राति
raato	रातो
raauND	राउण्ड
raauTe	राउटे
raaund	राउण्ड
raaute	राउटे
raay	राय
raa~D	राँड
raa~Dii	राँडी
raa~go	राँगो
rabaaph	रबाफ
rabaph	रबाफ
rabar	रबर
rachana	रचना
rachanaa	रचना
rachanaakaar	रचनाकार
rachanaakar	रचनाकार
rachanaatmak	रचनात्मक
rachanakaar	रचनाकार
rachanakar	रचनाकार
rachanatmak	रचनात्मक
rachit	रचित
rad	राँड
radd	रद्द
radi	राँडी
radii	राँडी
rag	राग
ragat	रगत
rago	राँगो
rah	रह
rahadaani	राहदानी
rahadaanii	राहदानी
rahadai	रहँदै
rahadani	राहदानी
rahadanii	राहदानी
rahanasahan	रहनसहन
rahanchh	रहन्छ
rahane	रहने
rahanu	रहनु
rahar	रहर
rahasy	रहस्य
rahasyamay	रहस्यमय
rahasyavaadi	रहस्यवादी
rahasyavaadii	रहस्यवादी
rahasyavadi	रहस्यवादी
rahasyavadii	रहस्यवादी
rahat	राहत
raha~dai	रहँदै
rahe	रहे
raheko	रहेको
rahit	रहित
rahyo	रह्यो
raiphal	राइफल
raithaane	रैथाने
raithane	रैथाने
raiti	रैती
raitii	रैती
raj	रज
raj	राज
raja	राजा
rajaa	राजा
rajaai	रजाइँ
rajaai~	रजाइँ
rajaavaadi	राजावादी
rajaavaadii	राजावादी
rajaavadi	राजावादी
rajaavadii	राजावादी
rajadhaani	राजधानी
rajadhaanii	राजधानी
rajadhani	राजधानी
rajadhanii	राजधानी
rajadut	राजदूत
rajadutaavaas	राजदूतावास
rajadutaavas	राजदूतावास
rajadutavaas	राजदूतावास
rajadutavas	राजदूतावास
rajaduut	राजदूत
rajaduutaavaas	राजदूतावास
rajaduutaavas	राजदूतावास
rajaduutavaas	राजदूतावास
rajaduutavas	राजदूतावास
rajai	रजाइँ
rajakiiy	राजकीय
rajakiy	राजकीय
rajakumaari	राजकुमारी
rajakumaarii	राजकुमारी
rajakumari	राजकुमारी
rajakumarii	राजकुमारी
rajamaarg	राजमार्ग
rajamarg	राजमार्ग
rajan	राजन
rajaneta	राजनेता
rajanetaa	राजनेता
rajaniiti	राजनीति
rajaniitijn	राजनीतिज्ञ
rajaniitik	राजनीतिक
rajaniitikaran	राजनीतिकरण
rajaniti	राजनीति
rajanitijn	राजनीतिज्ञ
rajanitik	राजनीतिक
rajanitikaran	राजनीतिकरण
rajapath	राजपथ
rajapatr	राजपत्र
rajapraasaad	राजप्रासाद
rajapraasad	राजप्रासाद
rajaprasaad	राजप्रासाद
rajaprasad	राजप्रासाद
rajashv	राजश्व
rajasv	राजस्व
rajasvala	रजस्वला
rajasvalaa	रजस्वला
rajat	रजत
rajatantr	राजतन्त्र
rajavaadi	राजावादी
rajavaadii	राजावादी
rajavadi	राजावादी
rajavadii	राजावादी
rajavanshi	राजवंशी
rajavanshii	राजवंशी
raji	राजी
rajii	राजी
rajy	राज्य
rak	रक
rakShaa	रक्षा
rakShaarth	रक्षार्थ
rakShaatmak	रक्षात्मक
rakShak	रक्षक
rakam	रकम
rakhchh	राख्छ
rakhda	राख्दा
rakhdaa	राख्दा
rakhdai	राख्दै
rakhe	राखे
rakheko	राखेको
rakhne	राख्ने
rakhnu	राख्नु
rakhyo	राख्यो
raksha	रक्षा
rakshaa	रक्षा
rakshaarth	रक्षार्थ
rakshaatmak	रक्षात्मक
rakshak	रक्षक
raksharth	रक्षार्थ
rakshas	राक्षस
rakshatmak	रक्षात्मक
raksi	रक्सी
raksii	रक्सी
rakt	रक्त
raktachaap	रक्तचाप
raktachap	रक्तचाप
raktapaat	रक्तपात
raktapat	रक्तपात
ramaNiiy	रमणीय
ramaailo	रमाइलो
ramailo	रमाइलो
ramajham	रमझम
ramaniiy	रमणीय
ramaniy	रमणीय
ramita	रमिता
ramitaa	रमिता
ramrari	राम्ररी
ramrarii	राम्ररी
ramro	राम्रो
ran	रङ
ran	रन
ranabhull	रनभुल्ल
rananiiti	रणनीति
rananiitik	रणनीतिक
rananiti	रणनीति
rananitik	रणनीतिक
randi	रण्डी
randii	रण्डी
rangashaala	रङ्गशाला
rangashaalaa	रङ्गशाला
rangashala	रङ्गशाला
rangashalaa	रङ्गशाला
rangichangi	रङ्गीचङ्गी
rangichangii	रङ्गीचङ्गी
rangiichangi	रङ्गीचङ्गी
rangiichangii	रङ्गीचङ्गी
rangiin	रङ्गीन
rangin	रङ्गिन
rangin	रङ्गीन
rani	रानी
ranii	रानी
ranjit	रञ्जित
rap	राप
raphtaar	रफ्तार
raphtar	रफ्तार
ras	रस
ras	रास
rasaayan	रसायन
rasaayanik	रासायनिक
rasayan	रसायन
rasayanik	रासायनिक
rashi	राशि
rashmi	रश्मि
rashtr	राष्ट्र
rashtrabhaasha	राष्ट्रभाषा
rashtrabhaashaa	राष्ट्रभाषा
rashtrabhasha	राष्ट्रभाषा
rashtrabhashaa	राष्ट्रभाषा
rashtrasanghiiy	राष्ट्रसंघीय
rashtrasanghiy	राष्ट्रसंघीय
rashtravyaapi	राष्ट्रव्यापी
rashtravyaapii	राष्ट्रव्यापी
rashtravyapi	राष्ट्रव्यापी
rashtravyapii	राष्ट्रव्यापी
rashtriy	राष्ट्रिय
rashtriyakaran	राष्ट्रियकरण
rashtriyasabha	राष्ट्रियसभा
rashtriyasabhaa	राष्ट्रियसभा
rashtriyata	राष्ट्रियता
rashtriyataa	राष्ट्रियता
rasid	रसिद
rasik	रसिक
rasilo	रसिलो
rat	रात
rataaraat	रातारात
rataarat	रातारात
rataraat	रातारात
ratarat	रातारात
rath	रथ
rati	राति
ratn	रत्न
rato	रातो
rauM	रौं
raun	रौं
raunak	रौनक
raund	राउण्ड
raute	राउटे
ravaiya	रवैया
ravaiyaa	रवैया
ravi	रवि
ray	राय
ra~N	रङ
ra~Ngashaalaa	रङ्गशाला
ra~Ngiicha~Ngii	रङ्गीचङ्गी
ra~Ngiin	रङ्गीन
ra~Ngin	रङ्गिन
ra~njit	रञ्जित
re	रे
reDiyo	रेडियो
reShTuraa~	रेष्टुराँ
reT	रेट
rediyo	रेडियो
rekarD	रेकर्ड
rekarDi~N	रेकर्डिङ
rekard	रेकर्ड
rekardin	रेकर्डिङ
rekha	रेखा
rekhaa	रेखा
rekhaankan	रेखाङ्कन
rekhaa~Nkan	रेखाङ्कन
rekhadekh	रेखदेख
rekhankan	रेखाङ्कन
rel	रेल
relve	रेल्वे
remiTens	रेमिटेन्स
remitens	रेमिटेन्स
rephri	रेफ्री
rephrii	रेफ्री
resTurenT	रेस्टुरेन्ट
resham	रेशम
reshtura	रेष्टुराँ
reshturaa	रेष्टुराँ
resturent	रेस्टुरेन्ट
ret	रेट
riT	रिट
riTaayarD	रिटायर्ड
riha	रिहा
rihaa	रिहा
rihaai	रिहाइ
rihai	रिहाइ
riit	रीत
riiti	रीति
riksa	रिक्सा
riksaa	रिक्सा
rikt	रिक्त
riktata	रिक्तता
riktataa	रिक्तता
rikuTe	रिकुटे
rikute	रिकुटे
rimiks	रिमिक्स
rin	ऋण
rin	रिन
rini	ऋणी
rinii	ऋणी
riporT	रिपोर्ट
riporTar	रिपोर्टर
riport	रिपोर्ट
riportar	रिपोर्टर
ris	रिस
risalla	रिसल्ला
risallaa	रिसल्ला
risarch	रिसर्च
rishi	ऋषि
rit	रिट
rit	रीत
ritaayard	रिटायर्ड
ritayard	रिटायर्ड
riti	रीति
ritto	रित्तो
ritu	ऋतु
roD	रोड
roDamyaap	रोडम्याप
roSh	रोष
roTii	रोटी
roboT	रोबोट
robot	रोबोट
rochak	रोचक
rod	रोड
rodamyaap	रोडम्याप
rodamyap	रोडम्याप
rodan	रोदन
roe	रोए
roeko	रोएको
rog	रोग
rogi	रोगी
rogii	रोगी
roj	रोज
rojaai	रोजाइ
rojagaar	रोजगार
rojagaari	रोजगारी
rojagaarii	रोजगारी
rojagar	रोजगार
rojagari	रोजगारी
rojagarii	रोजगारी
rojai	रोजाइ
roji	रोजी
rojii	रोजी
rojiiroTii	रोजीरोटी
rojiiroti	रोजीरोटी
rojiirotii	रोजीरोटी
rojiroti	रोजीरोटी
rojirotii	रोजीरोटी
rok	रोक
rokathaam	रोकथाम
rokatham	रोकथाम
rokchh	रोक्छ
rokda	रोक्दा
rokdaa	रोक्दा
rokdai	रोक्दै
roke	रोके
rokeko	रोकेको
rokne	रोक्ने
roknu	रोक्नु
rokyo	रोक्यो
rol	रोल
romaanch	रोमाञ्च
romaanchak	रोमाञ्चक
romaanchakata	रोमाञ्चकता
romaanchakataa	रोमाञ्चकता
romaanchit	रोमाञ्चित
romaa~nch	रोमाञ्च
romaa~nchak	रोमाञ्चक
romaa~nchakataa	रोमाञ्चकता
romaa~nchit	रोमाञ्चित
romanch	रोमाञ्च
romanchak	रोमाञ्चक
romanchakata	रोमाञ्चकता
romanchakataa	रोमाञ्चकता
romanchit	रोमाञ्चित
ropaai	रोपाइँ
ropaai~	रोपाइँ
ropai	रोपाइँ
ropani	रोपनी
ropanii	रोपनी
rosh	रोष
roshani	रोशनी
roshanii	रोशनी
roti	रोटी
rotii	रोटी
royalTii	रोयल्टी
royalti	रोयल्टी
royaltii	रोयल्टी
royo	रोयो
ruShT	रुष्ट
ruT	रुट
ruchi	रुचि
ruchikar	रुचिकर
rudai	रुँदै
rudr	रुद्र
rugN	रुग्ण
rugha	रुघा
rughaa	रुघा
rugn	रुग्ण
rukh	रूख
rukho	रूखो
rum	रुम
rumaal	रुमाल
rumaani	रुमानी
rumaanii	रुमानी
rumal	रुमाल
rumani	रुमानी
rumanii	रुमानी
runche	रुन्चे
runchh	रुन्छ
rune	रुने
runu	रुनु
rup	रूप
rupaantar	रूपान्तर
rupaantaran	रूपान्तरण
rupaantarit	रूपान्तरित
rupantar	रूपान्तर
rupantaran	रूपान्तरण
rupantarit	रूपान्तरित
ruparekha	रूपरेखा
ruparekhaa	रूपरेखा
rupavaadi	रूपवादी
rupavaadii	रूपवादी
rupavadi	रूपवादी
rupavadii	रूपवादी
rupavati	रूपवती
rupavatii	रूपवती
rupiya	रुपियाँ
rupiyaa	रुपियाँ
rupiyaa~	रुपियाँ
rusht	रुष्ट
rusi	रुसी
rusii	रुसी
rut	रुट
ruukh	रूख
ruukho	रूखो
ruup	रूप
ruupaantar	रूपान्तर
ruupaantaraN	रूपान्तरण
ruupaantaran	रूपान्तरण
ruupaantarit	रूपान्तरित
ruupantar	रूपान्तर
ruupantaran	रूपान्तरण
ruupantarit	रूपान्तरित
ruuparekha	रूपरेखा
ruuparekhaa	रूपरेखा
ruupavaadi	रूपवादी
ruupavaadii	रूपवादी
ruupavadi	रूपवादी
ruupavadii	रूपवादी
ruupavati	रूपवती
ruupavatii	रूपवती
ruvaai	रुवाइ
ruvai	रुवाइ
ru~dai	रुँदै
sRRiShTi	सृष्टि
sRRijanaa	सृजना
sRRijit	सृजित
sTaaph	स्टाफ
sTaar	स्टार
sTak	स्टक
sTeDiyam	स्टेडियम
sTesan	स्टेसन
sTil	स्टिल
sTobh	स्टोभ
sTor	स्टोर
sTuDiyo	स्टुडियो
saDak	सडक
saMhaar	संहार
saMhitaa	संहिता
saMlagn	संलग्न
saMlagnataa	संलग्नता
saMrachanaa	संरचना
saMrachanaatmak	संरचनात्मक
saMrakShaN	संरक्षण
saMrakShak	संरक्षक
saMrakShit	संरक्षित
saMsarg	संसर्ग
saMshay	संशय
saMshleShaN	संश्लेषण
saMshodhan	संशोधन
saMshodhit	संशोधित
saMskaar	संस्कार
saMsmaraN	संस्मरण
saMsthaa	संस्था
saMsthaagat	संस्थागत
saMsthaapak	संस्थापक
saMvaad	संवाद
saMvaahak	संवाहक
saMvaidhaanik	संवैधानिक
saMvarddhan	संवर्द्धन
saMvat	संवत्
saMvedanaa	संवेदना
saMvedanashiil	संवेदनशील
saMvedanashiilataa	संवेदनशीलता
saMveg	संवेग
saMvidhaan	संविधान
saMvidhaanasabhaa	संविधानसभा
saMyam	संयम
saMyamit	संयमित
saMyantr	संयन्त्र
saMyog	संयोग
saMyojak	संयोजक
saMyojan	संयोजन
saMyukt	संयुक्त
saTTaa	सट्टा
saTar	सटर
saTik	सटिक
saaDhe	साढे
saaDii	साडी
saaMsaarik	सांसारिक
saaMsad	सांसद
saaMskRRitik	सांस्कृतिक
saaThii	साठी
saaTo	साटो
saabik	साबिक
saabit	साबित
saabun	साबुन
saachchai	साँच्चै
saacho	साँचो
saada	सादा
saadaa	सादा
saadh	साँध
saadhaaraN	साधारण
saadhaaraNatayaa	साधारणतया
saadhaaran	साधारण
saadhaaranataya	साधारणतया
saadhaaranatayaa	साधारणतया
saadhak	साधक
saadhan	साधन
saadhana	साधना
saadhanaa	साधना
saadharan	साधारण
saadharanataya	साधारणतया
saadharanatayaa	साधारणतया
saadhe	साँढे
saadhe	साढे
saadhu	साधु
saadhy	साध्य
saadi	साडी
saadii	साडी
saag	साग
saagapaat	सागपात
saagapat	सागपात
saagar	सागर
saaghu	साँघु
saaghuro	साँघुरो
saaguro	साँगुरो
saahas	साहस
saahasi	साहसी
saahasii	साहसी
saahasik	साहसिक
saaheb	साहेब
saahityakaar	साहित्यकार
saahityakar	साहित्यकार
saahityik	साहित्यिक
saahrai	साह्रै
saahro	साह्रो
saahu	साहू
saahuu	साहू
saaiD	साइड
saaid	साइड
saaij	साइज
saaikal	साइकल
saainaborD	साइनबोर्ड
saainabord	साइनबोर्ड
saaino	साइनो
saait	साइत
saajh	साँझ
saajha	साझा
saajhaa	साझा
saajhedaari	साझेदारी
saajhedaarii	साझेदारी
saajhedari	साझेदारी
saajhedarii	साझेदारी
saakShar	साक्षर
saakSharataa	साक्षरता
saakShii	साक्षी
saakaar	साकार
saakar	साकार
saakh	साख
saakshar	साक्षर
saaksharata	साक्षरता
saaksharataa	साक्षरता
saakshi	साक्षी
saakshii	साक्षी
saal	साल
saale	साले
saali	साली
saalii	साली
saalik	सालिक
saalo	सालो
saamaajik	सामाजिक
saamaan	सामान
saamaany	सामान्य
saamagri	सामग्री
saamagrii	सामग्री
saamajik	सामाजिक
saaman	सामान
saamana	सामना
saamanaa	सामना
saamanjasy	सामञ्जस्य
saamant	सामन्त
saamantavaad	सामन्तवाद
saamantavad	सामन्तवाद
saamanti	सामन्ती
saamantii	सामन्ती
saamany	सामान्य
saamarik	सामरिक
saamarthy	सामर्थ्य
saamayik	सामयिक
saama~njasy	सामञ्जस्य
saamel	सामेल
saamiipy	सामीप्य
saamipy	सामीप्य
saampradaayik	साम्प्रदायिक
saampradayik	साम्प्रदायिक
saamraajy	साम्राज्य
saamraajyavaad	साम्राज्यवाद
saamraajyavad	साम्राज्यवाद
saamrajy	साम्राज्य
saamrajyavaad	साम्राज्यवाद
saamrajyavad	साम्राज्यवाद
saamu	सामु
saamuhik	सामूहिक
saamunne	सामुन्ने
saamuuhik	सामूहिक
saamy	साम्य
saamyavaad	साम्यवाद
saamyavad	साम्यवाद
saan	सान
saanaatina	सानातिना
saanaatinaa	सानातिना
saanatina	सानातिना
saanatinaa	सानातिना
saandarbhik	सान्दर्भिक
saangathanik	साङ्गठनिक
saangiitik	साङ्गीतिक
saangitik	साङ्गीतिक
saani	सानी
saanii	सानी
saanlo	साङ्लो
saano	सानो
saansaarik	सांसारिक
saansad	सांसद
saansarik	सांसारिक
saanskritik	सांस्कृतिक
saantvana	सान्त्वना
saantvanaa	सान्त्वना
saap	साप
saapaT	सापट
saapaTii	सापटी
saapat	सापट
saapati	सापटी
saapatii	सापटी
saapekSh	सापेक्ष
saapekShataa	सापेक्षता
saapekShik	सापेक्षिक
saapeksh	सापेक्ष
saapekshata	सापेक्षता
saapekshataa	सापेक्षता
saapekshik	सापेक्षिक
saaph	साफ
saaptaahik	साप्ताहिक
saaptahik	साप्ताहिक
saar	सार
saara	सारा
saaraa	सारा
saaraaMsh	सारांश
saaraansh	सारांश
saarai	सारै
saarangi	सारङ्गी
saarangii	सारङ्गी
saaransh	सारांश
saara~Ngii	सारङ्गी
saarchh	सार्छ
saarda	सार्दा
saardaa	सार्दा
saardai	सार्दै
saare	सारे
saareko	सारेको
saari	सारी
saarii	सारी
saark	सार्क
saarne	सार्ने
saarnu	सार्नु
saarthak	सार्थक
saarvabhaum	सार्वभौम
saarvabhaumasatta	सार्वभौमसत्ता
saarvabhaumasattaa	सार्वभौमसत्ता
saarvajanik	सार्वजनिक
saaryo	सार्यो
saas	सास
saasti	सास्ती
saastii	सास्ती
saasu	सासू
saasuu	सासू
saat	सात
saata	साता
saataa	साता
saath	साथ
saathagaath	साँठगाँठ
saathagath	साँठगाँठ
saathi	साठी
saathi	साथी
saathibhaai	साथीभाइ
saathibhai	साथीभाइ
saathii	साठी
saathii	साथी
saathiibhaai	साथीभाइ
saathiibhai	साथीभाइ
saato	साटो
saato	सातो
saaun	साउन
saauti	साउती
saautii	साउती
saavadhaan	सावधान
saavadhaani	सावधानी
saavadhaanii	सावधानी
saavadhan	सावधान
saavadhani	सावधानी
saavadhanii	सावधानी
saayad	सायद
saa~Dhe	साँढे
saa~NgaThanik	साङ्गठनिक
saa~Ngiitik	साङ्गीतिक
saa~Nlo	साङ्लो
saa~Thagaa~Th	साँठगाँठ
saa~chchai	साँच्चै
saa~cho	साँचो
saa~dh	साँध
saa~ghu	साँघु
saa~ghuro	साँघुरो
saa~guro	साँगुरो
saa~jh	साँझ
sab	सब
sabai	सबै
sabal	सबल
saberai	सबेरै
sabha	सभा
sabhaa	सभा
sabhaakakSh	सभाकक्ष
sabhaakaksh	सभाकक्ष
sabhaamukh	सभामुख
sabhaapati	सभापति
sabhaapatitv	सभापतित्व
sabhakaksh	सभाकक्ष
sabhamukh	सभामुख
sabhapati	सभापति
sabhapatitv	सभापतित्व
sabhy	सभ्य
sabhyata	सभ्यता
sabhyataa	सभ्यता
sabik	साबिक
sabit	साबित
sabun	साबुन
sachcha	सच्चा
sachchaa	सच्चा
sachchai	साँच्चै
sachet	सचेत
sachetana	सचेतना
sachetanaa	सचेतना
sachetata	सचेतता
sachetataa	सचेतता
sachiv	सचिव
sachivaalay	सचिवालय
sachivalay	सचिवालय
sacho	साँचो
sada	सदा
sada	सादा
sadaa	सदा
sadaa	सादा
sadaachaar	सदाचार
sadaachar	सदाचार
sadachaar	सदाचार
sadachar	सदाचार
sadaiv	सदैव
sadak	सडक
sadan	सदन
sadar	सदर
sadaramukaam	सदरमुकाम
sadaramukam	सदरमुकाम
sadasy	सदस्य
sadasyasachiv	सदस्यसचिव
sadasyata	सदस्यता
sadasyataa	सदस्यता
sadasyiiy	सदस्यीय
sadasyiy	सदस्यीय
sadbhaav	सद्भाव
sadbhaavana	सद्भावना
sadbhaavanaa	सद्भावना
sadbhav	सद्भाव
sadbhavana	सद्भावना
sadbhavanaa	सद्भावना
sadde	सद्दे
sadh	साँध
sadhaaran	साधारण
sadhaaranataya	साधारणतया
sadhaaranatayaa	साधारणतया
sadhai	सधैँ
sadhaiM	सधैं
sadhain	सधैं
sadhai~	सधैँ
sadhak	साधक
sadhan	साधन
sadhana	साधना
sadhanaa	साधना
sadharan	साधारण
sadharanataya	साधारणतया
sadharanatayaa	साधारणतया
sadhe	साँढे
sadhe	साढे
sadhu	साधु
sadhy	साध्य
sadi	साडी
sadichchha	सदिच्छा
sadichchhaa	सदिच्छा
sadii	साडी
sadupayog	सदुपयोग
sag	सँग
sag	साग
sagaalo	सँगालो
sagalo	सँगालो
sagapaat	सागपात
sagapat	सागपात
sagar	सगर
sagar	सागर
saghaar	सँघार
saghaau	सघाउ
saghan	सघन
saghar	सँघार
saghau	सघाउ
saghu	साँघु
saghuro	साँघुरो
sagini	सँगिनी
saginii	सँगिनी
saglo	सग्लो
sagun	सगुन
saguro	साँगुरो
sahaanubhuti	सहानुभूति
sahaanubhuuti	सहानुभूति
sahaara	सहारा
sahaaraa	सहारा
sahaastitv	सहअस्तित्व
sahaayak	सहायक
sahaayata	सहायता
sahaayataa	सहायता
sahabhaagi	सहभागी
sahabhaagii	सहभागी
sahabhaagita	सहभागिता
sahabhaagitaa	सहभागिता
sahabhagi	सहभागी
sahabhagii	सहभागी
sahabhagita	सहभागिता
sahabhagitaa	सहभागिता
sahadai	सहँदै
sahaj	सहज
sahajai	सहजै
sahajata	सहजता
sahajataa	सहजता
sahakaari	सहकारी
sahakaarii	सहकारी
sahakaary	सहकार्य
sahakari	सहकारी
sahakarii	सहकारी
sahakarmi	सहकर्मी
sahakarmii	सहकर्मी
sahakary	सहकार्य
sahamat	सहमत
sahamati	सहमति
sahan	सहन
sahanchh	सहन्छ
sahane	सहने
sahanu	सहनु
sahanubhuti	सहानुभूति
sahanubhuuti	सहानुभूति
sahapaaThii	सहपाठी
sahapaathi	सहपाठी
sahapaathii	सहपाठी
sahapathi	सहपाठी
sahapathii	सहपाठी
sahar	सहर
saharSh	सहर्ष
sahara	सहारा
saharaa	सहारा
sahari	सहरी
saharii	सहरी
sahariya	सहरिया
sahariyaa	सहरिया
saharsh	सहर्ष
sahas	साहस
sahasa	सहसा
sahasaa	सहसा
sahasachiv	सहसचिव
sahasi	साहसी
sahasii	साहसी
sahasik	साहसिक
